1:ItNr	2:Metric	2:Metric0	2:Metric1	2:Metric2	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient2||	4:||Gradient||	Time0[ms]	Time1[ms]	Time2[ms]	Time[ms]
295	-1.056536	-0.567773	-0.488774	0.000011	5.932253	624.252767	0.001378	0.002445	0.000000	0.002894	1.0	1.6	1.2	5.8
296	-1.056771	-0.570177	-0.486605	0.000011	6.922356	602.117297	0.001404	0.002517	0.000000	0.003076	1.1	1.6	1.3	5.9
297	-1.081955	-0.591568	-0.490398	0.000011	6.128865	619.728598	0.001437	0.002418	0.000000	0.003007	1.2	2.6	2.9	8.7
298	-1.072520	-0.586772	-0.485759	0.000011	6.855303	603.566706	0.001346	0.003183	0.000000	0.003776	1.1	1.7	1.1	5.9
299	-1.008908	-0.571029	-0.437890	0.000011	7.855303	582.649694	0.001495	0.002487	0.000000	0.003549	1.1	1.7	1.0	5.7
300	-1.089414	-0.590230	-0.499195	0.000012	8.855303	563.133908	0.000968	0.002197	0.000000	0.002924	1.0	1.6	1.2	5.8
301	-1.051100	-0.576232	-0.474879	0.000011	9.855273	544.883639	0.001637	0.003087	0.000000	0.003801	1.2	1.5	1.0	5.5
302	-1.097813	-0.600748	-0.497077	0.000012	9.414963	552.771776	0.001334	0.001998	0.000000	0.002956	1.1	1.6	1.3	6.1
303	-1.079775	-0.583306	-0.496480	0.000011	9.950729	543.203152	0.001408	0.002183	0.000000	0.002496	1.0	1.6	1.0	5.4
304	-1.027006	-0.568673	-0.458345	0.000011	9.224299	556.258836	0.001266	0.002756	0.000000	0.003318	0.9	1.5	1.0	5.4
305	-1.059167	-0.582560	-0.476620	0.000012	8.600267	567.985865	0.001159	0.002163	0.000000	0.002697	1.0	1.6	1.1	5.5
306	-1.093512	-0.592024	-0.501500	0.000012	8.218277	575.411534	0.001287	0.002370	0.000000	0.002786	1.1	1.6	1.1	5.6
307	-1.033293	-0.563152	-0.470153	0.000012	8.981976	560.754687	0.001308	0.002056	0.000000	0.003026	1.1	1.6	1.0	5.6
308	-1.055554	-0.568012	-0.487553	0.000011	9.035076	559.763305	0.001191	0.002140	0.000000	0.002563	1.2	1.6	1.0	5.7
309	-1.076151	-0.606313	-0.469849	0.000012	8.350320	572.822822	0.001203	0.001867	0.000000	0.002574	1.2	1.6	1.1	5.8
310	-1.065419	-0.584570	-0.480861	0.000012	9.270772	555.404837	0.001511	0.002851	0.000000	0.003508	1.2	1.6	1.2	5.8
311	-1.124889	-0.607977	-0.516924	0.000011	8.477145	570.358273	0.001251	0.002202	0.000000	0.002743	1.0	1.7	1.0	5.7
312	-1.062175	-0.583830	-0.478357	0.000012	9.306219	554.755225	0.001594	0.002277	0.000000	0.003462	1.0	1.6	1.1	5.7
313	-1.092871	-0.595883	-0.497000	0.000012	8.513466	569.656355	0.001077	0.003414	0.000000	0.003534	1.0	1.5	1.1	5.6
314	-1.058699	-0.582577	-0.476133	0.000012	8.857861	563.085660	0.000961	0.002086	0.000000	0.002573	1.1	1.7	1.1	5.7
315	-1.065387	-0.581218	-0.484181	0.000012	9.790778	546.024962	0.001531	0.002666	0.000000	0.003653	1.0	1.5	1.3	5.9
316	-1.086367	-0.596556	-0.489823	0.000012	9.838451	545.180861	0.001438	0.005353	0.000000	0.005963	1.1	1.6	1.1	5.6
317	-1.051556	-0.584661	-0.466907	0.000012	9.045886	559.561908	0.001425	0.002284	0.000000	0.003030	1.1	1.5	1.2	5.8
318	-1.085066	-0.593930	-0.491147	0.000012	8.287555	574.050434	0.002340	0.005823	0.000000	0.007852	1.0	1.5	1.1	5.5
319	-1.046814	-0.576231	-0.470595	0.000012	7.495908	589.998154	0.001597	0.002894	0.000000	0.003598	1.0	1.6	2.3	10.9
320	-1.026097	-0.558333	-0.467775	0.000012	8.495907	569.995467	0.002010	0.002707	0.000000	0.002614	1.2	1.7	1.1	7.0
321	-1.088611	-0.589191	-0.499432	0.000012	7.704531	585.710087	0.001391	0.002482	0.000000	0.002843	1.0	2.2	1.2	8.0
322	-1.073273	-0.585476	-0.487810	0.000012	6.911113	602.359844	0.001339	0.002007	0.000000	0.002746	1.1	1.6	1.1	7.6
323	-1.094962	-0.609134	-0.485840	0.000012	6.129691	619.709727	0.001547	0.002868	0.000000	0.003330	1.1	1.8	1.1	7.9
324	-1.105943	-0.594154	-0.511801	0.000013	5.603364	631.970193	0.001341	0.002892	0.000000	0.003230	1.1	1.8	1.1	5.9
325	-1.047027	-0.566242	-0.480798	0.000012	4.867149	649.956954	0.001435	0.002577	0.000000	0.002871	1.1	1.7	1.0	5.7
326	-1.076759	-0.597760	-0.479011	0.000012	5.831086	626.606519	0.001260	0.001916	0.000000	0.002487	1.1	1.9	1.1	5.9
327	-1.064637	-0.581252	-0.483397	0.000013	5.091801	644.360796	0.001311	0.002151	0.000000	0.002611	1.2	1.8	1.3	7.9
328	-1.044211	-0.584270	-0.459953	0.000013	4.299039	664.552260	0.001981	0.002813	0.000000	0.003483	1.1	1.9	1.1	6.3
329	-1.063366	-0.583192	-0.480186	0.000012	5.250657	640.461436	0.001201	0.002867	0.000000	0.003162	1.2	1.8	1.5	6.4
330	-1.054857	-0.572906	-0.481964	0.000013	4.457000	660.428706	0.001217	0.002656	0.000000	0.003249	1.1	1.6	1.0	5.6
